as_of,snapshot_date,snapshot_h,ticker,direction,strike_f,yes_ask,p_model,ev_cents,observed_high_f,yes_won,pnl_cents,cost_cents,micro_volume_6h,in_mode_a,in_mode_b,in_mode_a_c,in_mode_b_c
2026-01-01T20:00:00Z,2026-01-01,14,KXHIGHCHI-26JAN01-T20,less,20.0,0.2,0.5124170644676396,31.24170644676396,20.0,False,-20.0,20.0,9555.0,1,0,1,0
2026-01-01T20:00:00Z,2026-01-01,14,KXHIGHCHI-26JAN01-T20,less,20.0,0.2,0.5327953288202081,33.27953288202081,20.0,False,-20.0,20.0,9555.0,0,1,0,1
2026-03-18T17:00:00Z,2026-03-18,12,KXHIGHCHI-26MAR18-T40,greater,40.0,0.05,0.4501641743096758,40.01641743096759,46.0,True,95.0,5.0,11290.0,1,0,1,0
2026-03-18T17:00:00Z,2026-03-18,12,KXHIGHCHI-26MAR18-T40,greater,40.0,0.05,0.4686066970489558,41.86066970489558,46.0,True,95.0,5.0,11290.0,0,1,0,1
2026-03-25T17:00:00Z,2026-03-25,12,KXHIGHCHI-26MAR25-T73,greater,73.0,0.1,0.1556069353292957,5.560693532929576,71.0,False,-10.0,10.0,6810.0,1,0,1,0
2026-03-29T17:00:00Z,2026-03-29,12,KXHIGHCHI-26MAR29-T68,greater,68.0,0.05,0.1243963644892603,7.439636448926036,63.0,False,-5.0,5.0,2984.0,1,0,1,0
2026-04-02T17:00:00Z,2026-04-02,12,KXHIGHCHI-26APR02-T66,greater,66.0,0.07,0.2857245706540119,21.572457065401192,70.0,True,93.0,7.000000000000001,16677.0,1,0,1,0
2026-04-02T17:00:00Z,2026-04-02,12,KXHIGHCHI-26APR02-T66,greater,66.0,0.07,0.2879170728306307,21.791707283063072,70.0,True,93.0,7.000000000000001,16677.0,0,1,0,1
2026-04-05T17:00:00Z,2026-04-05,12,KXHIGHCHI-26APR05-T50,greater,50.0,0.06,0.1569134713769311,9.69134713769311,53.0,True,94.0,6.0,8054.0,1,0,1,0
2026-04-05T17:00:00Z,2026-04-05,12,KXHIGHCHI-26APR05-T50,greater,50.0,0.06,0.1581716132277055,9.817161322770556,53.0,True,94.0,6.0,8054.0,0,1,0,1
2026-04-13T19:00:00Z,2026-04-13,14,KXHIGHCHI-26APR13-T76,greater,76.0,0.05,0.941238126283852,89.1238126283852,79.0,True,95.0,5.0,14286.0,1,0,1,0
2026-04-13T19:00:00Z,2026-04-13,14,KXHIGHCHI-26APR13-T76,greater,76.0,0.05,0.9308975654431784,88.08975654431782,79.0,True,95.0,5.0,14286.0,0,1,0,1
